theme,ticker,ticker_clean,confidence,tier,combined_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,sector,action
fenbushi_capital_portfolio,ZEC-USD,ZEC,high,Tier 1,0.414353,-0.161335,57.5688,2.013017,1.0,1.0,-19.97,18.56,VC_Portfolio,AGGRESSIVE BUY
fenbushi_capital_portfolio,VET-USD,VET,high,Tier 1,0.414353,-0.161335,57.5688,2.013017,1.0,1.0,-19.97,18.56,VC_Portfolio,AGGRESSIVE BUY
fenbushi_capital_portfolio,LA-USD,LA,high,Tier 1,0.414353,-0.161335,57.5688,2.013017,1.0,1.0,-19.97,18.56,VC_Portfolio,AGGRESSIVE BUY
fenbushi_capital_portfolio,BICO-USD,BICO,high,Tier 1,0.414353,-0.161335,57.5688,2.013017,1.0,1.0,-19.97,18.56,VC_Portfolio,AGGRESSIVE BUY
fenbushi_capital_portfolio,DOT-USD,DOT,high,Tier 1,0.414353,-0.161335,57.5688,2.013017,1.0,1.0,-19.97,18.56,VC_Portfolio,AGGRESSIVE BUY
fenbushi_capital_portfolio,SC-USD,SC,high,Tier 1,0.414353,-0.161335,57.5688,2.013017,1.0,1.0,-19.97,18.56,VC_Portfolio,AGGRESSIVE BUY
fenbushi_capital_portfolio,ICP-USD,ICP,high,Tier 1,0.414353,-0.161335,57.5688,2.013017,1.0,1.0,-19.97,18.56,VC_Portfolio,AGGRESSIVE BUY
ledgerprime_portfolio,RLY-USD,RLY,high,Tier 1,0.334675,-0.135967,47.0642,0.991193,1.0,1.0,214.57,120.21,VC_Portfolio,AGGRESSIVE BUY
ledgerprime_portfolio,CVP-USD,CVP,high,Tier 1,0.334675,-0.135967,47.0642,0.991193,1.0,1.0,214.57,120.21,VC_Portfolio,AGGRESSIVE BUY
ledgerprime_portfolio,FLOW-USD,FLOW,high,Tier 1,0.334675,-0.135967,47.0642,0.991193,1.0,1.0,214.57,120.21,VC_Portfolio,AGGRESSIVE BUY
ledgerprime_portfolio,RGT-USD,RGT,high,Tier 1,0.334675,-0.135967,47.0642,0.991193,1.0,1.0,214.57,120.21,VC_Portfolio,AGGRESSIVE BUY
ledgerprime_portfolio,SFI-USD,SFI,high,Tier 1,0.334675,-0.135967,47.0642,0.991193,1.0,1.0,214.57,120.21,VC_Portfolio,AGGRESSIVE BUY
ledgerprime_portfolio,PTF-USD,PTF,high,Tier 1,0.334675,-0.135967,47.0642,0.991193,1.0,1.0,214.57,120.21,VC_Portfolio,AGGRESSIVE BUY
hacken_foundation,HAPI-USD,HAPI,high,Tier 1,0.303584,-0.154386,45.797,1.0,0.0,1.0,-11.53,20.53,Other,AGGRESSIVE BUY
hacken_foundation,1ART-USD,1ART,high,Tier 1,0.303584,-0.154386,45.797,1.0,0.0,1.0,-11.53,20.53,Other,AGGRESSIVE BUY
hacken_foundation,HAI-USD,HAI,high,Tier 1,0.303584,-0.154386,45.797,1.0,0.0,1.0,-11.53,20.53,Other,AGGRESSIVE BUY
social_token,UXLINK-USD,UXLINK,high,Tier 1,0.29794,-0.38595,68.389,0.0,0.0,1.0,-49.98,34.82,Other,AGGRESSIVE BUY
social_token,CERE-USD,CERE,high,Tier 1,0.29794,-0.38595,68.389,0.0,0.0,1.0,-49.98,34.82,Other,AGGRESSIVE BUY
social_token,RLY-USD,RLY,high,Tier 1,0.29794,-0.38595,68.389,0.0,0.0,1.0,-49.98,34.82,Other,AGGRESSIVE BUY
social_token,ZENT-USD,ZENT,high,Tier 1,0.29794,-0.38595,68.389,0.0,0.0,1.0,-49.98,34.82,Other,AGGRESSIVE BUY
zero_knowledge_proofs,ZEN-USD,ZEN,high,Tier 1,0.280694,-0.28909,56.9783,1.0,1.0,1.0,-24.11,19.55,Privacy,AGGRESSIVE BUY
zero_knowledge_proofs,CELO-USD,CELO,high,Tier 1,0.280694,-0.28909,56.9783,1.0,1.0,1.0,-24.11,19.55,Privacy,AGGRESSIVE BUY
zero_knowledge_proofs,STRK-USD,STRK,high,Tier 1,0.280694,-0.28909,56.9783,1.0,1.0,1.0,-24.11,19.55,Privacy,AGGRESSIVE BUY
zero_knowledge_proofs,ZEC-USD,ZEC,high,Tier 1,0.280694,-0.28909,56.9783,1.0,1.0,1.0,-24.11,19.55,Privacy,AGGRESSIVE BUY
zero_knowledge_proofs,ALEO-USD,ALEO,high,Tier 1,0.280694,-0.28909,56.9783,1.0,1.0,1.0,-24.11,19.55,Privacy,AGGRESSIVE BUY
zero_knowledge_proofs,WLD-USD,WLD,high,Tier 1,0.280694,-0.28909,56.9783,1.0,1.0,1.0,-24.11,19.55,Privacy,AGGRESSIVE BUY
ai_memes,AI16Z-USD,AI16Z,high,Tier 1,0.256751,-0.059468,31.6219,3.1,0.0,1.0,60.54,49.1,AI,AGGRESSIVE BUY
ai_memes,TURBO-USD,TURBO,high,Tier 1,0.256751,-0.059468,31.6219,3.1,0.0,1.0,60.54,49.1,AI,AGGRESSIVE BUY
ai_memes,ZEREBRO-USD,ZEREBRO,high,Tier 1,0.256751,-0.059468,31.6219,3.1,0.0,1.0,60.54,49.1,AI,AGGRESSIVE BUY
ai_memes,FARTCOIN-USD,FARTCOIN,high,Tier 1,0.256751,-0.059468,31.6219,3.1,0.0,1.0,60.54,49.1,AI,AGGRESSIVE BUY
cybersecurity,HAPI-USD,HAPI,high,Tier 1,0.250615,-0.195555,44.617,1.865289,0.0,1.0,-17.28,21.18,Other,AGGRESSIVE BUY
cybersecurity,UTK-USD,UTK,high,Tier 1,0.250615,-0.195555,44.617,1.865289,0.0,1.0,-17.28,21.18,Other,AGGRESSIVE BUY
cybersecurity,CDT-USD,CDT,high,Tier 1,0.250615,-0.195555,44.617,1.865289,0.0,1.0,-17.28,21.18,Other,AGGRESSIVE BUY
cybersecurity,NCT-USD,NCT,high,Tier 1,0.250615,-0.195555,44.617,1.865289,0.0,1.0,-17.28,21.18,Other,AGGRESSIVE BUY
cybersecurity,SDM-USD,SDM,high,Tier 1,0.250615,-0.195555,44.617,1.865289,0.0,1.0,-17.28,21.18,Other,AGGRESSIVE BUY
cybersecurity,BLOCX-USD,BLOCX,high,Tier 1,0.250615,-0.195555,44.617,1.865289,0.0,1.0,-17.28,21.18,Other,AGGRESSIVE BUY
cybersecurity,HAI-USD,HAI,high,Tier 1,0.250615,-0.195555,44.617,1.865289,0.0,1.0,-17.28,21.18,Other,AGGRESSIVE BUY
ip_memes,PONKE-USD,PONKE,high,Tier 1,0.235856,-0.155287,39.1142,3.6,0.0,1.0,-3.91,18.18,Memes,AGGRESSIVE BUY
ip_memes,NEIRO-USD,NEIRO,high,Tier 1,0.235856,-0.155287,39.1142,3.6,0.0,1.0,-3.91,18.18,Memes,AGGRESSIVE BUY
ip_memes,KEYCAT-USD,KEYCAT,high,Tier 1,0.235856,-0.155287,39.1142,3.6,0.0,1.0,-3.91,18.18,Memes,AGGRESSIVE BUY
ip_memes,TROLL-USD,TROLL,high,Tier 1,0.235856,-0.155287,39.1142,3.6,0.0,1.0,-3.91,18.18,Memes,AGGRESSIVE BUY
pump_fun_ecosystem,FARTCOIN-USD,FARTCOIN,high,Tier 1,0.224724,-0.084859,30.9583,1.0,0.0,1.0,1.42,18.04,Ecosystem,AGGRESSIVE BUY
pump_fun_ecosystem,BAN-USD,BAN,high,Tier 1,0.224724,-0.084859,30.9583,1.0,0.0,1.0,1.42,18.04,Ecosystem,AGGRESSIVE BUY
pump_fun_ecosystem,TROLL-USD,TROLL,high,Tier 1,0.224724,-0.084859,30.9583,1.0,0.0,1.0,1.42,18.04,Ecosystem,AGGRESSIVE BUY
pump_fun_ecosystem,PNUT-USD,PNUT,high,Tier 1,0.224724,-0.084859,30.9583,1.0,0.0,1.0,1.42,18.04,Ecosystem,AGGRESSIVE BUY
pump_fun_ecosystem,MOODENG-USD,MOODENG,high,Tier 1,0.224724,-0.084859,30.9583,1.0,0.0,1.0,1.42,18.04,Ecosystem,AGGRESSIVE BUY
retail,PHB-USD,PHB,high,Tier 1,0.222914,0.132096,9.0818,0.0,0.4,0.8246,10.07,39.03,Other,AGGRESSIVE BUY
retail,NEURA-USD,NEURA,high,Tier 1,0.222914,0.132096,9.0818,0.0,0.4,0.8246,10.07,39.03,Other,AGGRESSIVE BUY
retail,PART-USD,PART,high,Tier 1,0.222914,0.132096,9.0818,0.0,0.4,0.8246,10.07,39.03,Other,AGGRESSIVE BUY
retail,LABZ-USD,LABZ,high,Tier 1,0.222914,0.132096,9.0818,0.0,0.4,0.8246,10.07,39.03,Other,AGGRESSIVE BUY
tron_memes,SUNCAT-USD,SUNCAT,high,Tier 1,0.221373,-0.17014,39.1514,0.0,0.0,1.0,-2.02,13.37,Memes,AGGRESSIVE BUY
tron_memes,SUNDOG-USD,SUNDOG,high,Tier 1,0.221373,-0.17014,39.1514,0.0,0.0,1.0,-2.02,13.37,Memes,AGGRESSIVE BUY
tron_memes,MUNCAT-USD,MUNCAT,high,Tier 1,0.221373,-0.17014,39.1514,0.0,0.0,1.0,-2.02,13.37,Memes,AGGRESSIVE BUY
tron_memes,IVFUN-USD,IVFUN,high,Tier 1,0.221373,-0.17014,39.1514,0.0,0.0,1.0,-2.02,13.37,Memes,AGGRESSIVE BUY
tron_memes,SUNPEPE-USD,SUNPEPE,high,Tier 1,0.221373,-0.17014,39.1514,0.0,0.0,1.0,-2.02,13.37,Memes,AGGRESSIVE BUY
tron_memes,TBULL-USD,TBULL,high,Tier 1,0.221373,-0.17014,39.1514,0.0,0.0,1.0,-2.02,13.37,Memes,AGGRESSIVE BUY
tron_memes,SUNPUMP-USD,SUNPUMP,high,Tier 1,0.221373,-0.17014,39.1514,0.0,0.0,1.0,-2.02,13.37,Memes,AGGRESSIVE BUY
cmc_community_vote_winners,MIGGLES-USD,MIGGLES,high,Tier 1,0.207748,-0.22275,43.0498,3.0,0.0,1.0,-0.77,35.78,Other,AGGRESSIVE BUY
cmc_community_vote_winners,HEGE-USD,HEGE,high,Tier 1,0.207748,-0.22275,43.0498,3.0,0.0,1.0,-0.77,35.78,Other,AGGRESSIVE BUY
cmc_community_vote_winners,RETARDIO-USD,RETARDIO,high,Tier 1,0.207748,-0.22275,43.0498,3.0,0.0,1.0,-0.77,35.78,Other,AGGRESSIVE BUY
icetea_labs,KMON-USD,KMON,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,BEM-USD,BEM,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,PKF-USD,PKF,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,SOULS-USD,SOULS,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,PERRY-USD,PERRY,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,GAFI-USD,GAFI,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,RENA-USD,RENA,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
