category,ticker_count,top_ticker
alleged_sec_securities,10,ADA-USD
privacy,10,DASH-USD
polkadot_ecosystem,10,DOT-USD
play_to_earn,10,FLOKI-USD
fan_token,10,PSG-USD
binance_ecosystem,10,ADA-USD
media,10,BABYDOGE-USD
boostvc_portfolio,10,DOT-USD
multiversx_ecosystem,10,UTK-USD
kenetic_capital_portfolio,10,FTT-USD
seedify,10,SWORLD-USD
generative_ai,9,BABYDOGE-USD
real_world_assets_protocols,9,XAUT-USD
marketplace,9,GT-USD
made_in_america,9,XLM-USD
cosmos_ecosystem,9,OSMO-USD
smart_contracts,9,XLM-USD
optimism_ecosystem,9,DOT-USD
insurance,9,DSLA-USD
binance_launchpad,9,BTT-USD
dao_maker,9,GMM-USD
sports,9,PSG-USD
eur_stablecoin,9,EURT-USD
masternodes,9,DASH-USD
content_creation,9,BABYDOGE-USD
tron_ecosystem,9,BTT-USD
framework_ventures_portfolio,9,AAVE-USD
placeholder_ventures_portfolio,9,DOT-USD
1confirmation_portfolio,9,CKB-USD
huobi_capital_portfolio,9,CKB-USD
cms_holdings_portfolio,9,CKB-USD
logistics,9,PPT-USD
poolz_finance_portfolio,9,SDAO-USD
loyalty,9,BABYDOGE-USD
harmony_ecosystem,9,DSLA-USD
e-commerce,9,ELMON-USD
research,9,CKB-USD
polkastarter,9,MAHA-USD
celo_ecosystem,9,CELO-USD
scaling,9,CKB-USD
asset_management,9,WXT-USD
bluezilla,9,VLXPAD-USD
bullperks_launchpad,9,PKR-USD
exnetwork_capital_portfolio,9,FTT-USD
icetea_labs,9,BUNI-USD
depin,8,BTT-USD
robotics,8,IOTX-USD
fiat_stablecoin,8,USDP-USD
world_liberty_financial_portfolio,8,AAVE-USD
wallet,8,LRC-USD
metaverse,8,FLOKI-USD
layer_1,8,ADA-USD
ftx_bankruptcy_estate,8,FTT-USD
liquid_staking_derivatives,8,SD-USD
dwf_labs_portfolio,8,BONK-USD
arbitrum_ecosystem,8,DOT-USD
olympus_pro_ecosystem,8,PNG-USD
iot,8,IOTX-USD
polygon_ecosystem,8,BONK-USD
music,8,VIB-USD
terra_ecosystem,8,HAWK-USD
fantom_ecosystem,8,FRAX-USD
zksync_era_ecosystem,8,XVS-USD
blast_ecosystem,8,CYBRO-USD
governance,8,DASH-USD
