symbol,name,level3
0XBTC-USD,0xBitcoin,Payments
ABT-USD,Arcblock,Blockchain-as-a-Service
ACOIN-USD,Acoin,Payments
ADA-USD,Cardano,Infrastructure
ADK-USD,Aidos Kuneen,Payments
ADM-USD,ADAMANT Messenger,Messaging
AERGO-USD,Aergo,Infrastructure
AE-USD,Æternity,Infrastructure
AG8-USD,AtromG8,Payments
AGRS-USD,Agoras: Tau Net,Infrastructure
AKT-USD,Akash Network,Cloud Computing
ALEPH-USD,Aleph.im,Decentralized Storage & Computing
ALGO-USD,Algorand,Infrastructure
ALPHA-USD,Stella,Payments
AME-USD,AME Chain,Infrastructure
AMON-USD,AmonD,Payments
ANKR-USD,Ankr,Decentralized Cloud Computing
ARB-USD,ARbit,Layer-2 Scaling Solutions
ARDR-USD,Ardor,Blockchain-as-a-Service (BaaS)
ARK-USD,Ark,Blockchain Platforms
ARPA-USD,ARPA,Privacy
ARRR-USD,Pirate Chain,Privacy Coins
AR-USD,Arweave,Data Storage
ASD-USD,ASD,Payments
ATOM-USD,Cosmos,Blockchain Interoperability
AUR-USD,Auroracoin,Payments
AVAX-USD,Avalanche,Infrastructure
AXE-USD,Axe,Payments
BAND-USD,Band Protocol,Oracles
BAN-USD,Banano,Payments
BCA7619-USD,Bitcoiva,Payments
BCA-USD,Bitcoin Atom,Payments
BCD-USD,Bitcoin Diamond,Payments
BCH-USD,Bitcoin Cash,Payments
BCN-USD,Bytecoin,Payments
BDX-USD,Beldex,Privacy Coins
BEPRO-USD,Bepro,Development Tools
BFC7817-USD,Bifrost,Cross-Chain Infrastructure
BGL-USD,Bitgesell,Payments
BITB-USD,Bean Cash,Payments
BLINK7784-USD,BLink,Payments
BLU-USD,BlueCoin,Payments
BLZ-USD,Bluzelle,Decentralized Storage
BOA-USD,BOSagora,Infrastructure
BOUTS-USD,BoutsPro,Payments
BSTY-USD,GlobalBoost,Payments
BSV-USD,Bitcoin SV,Payments
BTC2-USD,Bitcoin 2,Payments
BTCB-USD,Bitcoin BEP2,Payments
BTC-USD,Bitcoin,Payments
BTCZ-USD,BitcoinZ,Payments
BTG-USD,Bitcoin Gold,Payments
BTM-USD,BytomDAO,Infrastructure
BTS-USD,BitShares,Decentralized Exchange (DEX)
BXC-USD,BonusCloud,Decentralized Computing
CELO-USD,Celo,Payments
CELR-USD,Celer Network,Layer-2 Scaling
CFX-USD,Conflux,Infrastructure
CHR-USD,Chromia,Database
CKB-USD,Nervos Network,Infrastructure
CLOAK-USD,CloakCoin,Payments
CLO-USD,Callisto Network,Infrastructure
COLX-USD,ColossusXT,Payments
COTI-USD,COTI,Payments
CPC-USD,CPChain,IoT Platform
CRDT-USD,CRDT,Payments
CRO-USD,Cronos,Infrastructure
CRP-USD,Crypton,Payments
