rank,sector,fiedler,momentum,trend,interaction_score,combined_score,leading_score,recent_return_pct,allocation_tier,recommended_size_pct,ticker_count
1,winklevoss_capital_portfolio,6.0,-0.0676179516232303,3.415091794235508,-0.4057077097393817,-0.0334670336808752,0.4026835156799482,7.793814497236286,Tier 4 - Monitor,2.5,0
2,ai_&_big_data,6.999999999999998,-0.0985166162438021,19.506219961856484,-0.6896163137066146,0.0965455833747627,0.479091472112421,4.1578232818232586,Tier 4 - Monitor,2.5,0
3,dcg_portfolio,6.699999999999998,-0.1314037841840074,3.416253429937817,-0.8804053540328493,-0.0972412498846292,0.3650985509982853,-2.2173703652086734,Tier 4 - Monitor,2.5,0
4,near_protocol_ecosystem,5.999999999999998,-0.1661952266365702,7.8849741698008415,-0.9971713598194208,-0.0873454849385617,0.3795619370208376,-28.09049790974537,Tier 4 - Monitor,2.5,0
5,hashkey_capital_portfolio,6.0,-0.1743365200553183,4.198996181527039,-1.0460191203319098,-0.1323465582400479,0.3380282805963541,0.9633184065260704,Tier 4 - Monitor,2.5,0
6,bnb_chain_ecosystem,5.699999999999998,-0.1838449562783972,8.022507325170487,-1.0479162507868638,-0.1036198830266923,0.4798831235762784,-25.020702695706827,Tier 4 - Monitor,2.5,0
7,boostvc_portfolio,7.849999999999999,-0.1418350214815632,3.386517334797029,-1.113404918630271,-0.1079698481335929,0.3598823895199307,-6.339862008368559,Tier 4 - Monitor,2.5,0
8,a16z_portfolio,6.999999999999998,-0.1673485865252669,3.55084306951352,-1.171440105676868,-0.1318401558301317,0.3496159064608636,-7.544954669672537,Tier 4 - Monitor,2.5,0
9,communications_&_social_media,6.5,-0.1873251889647471,16.609604075166853,-1.217613728270856,-0.0212291482130785,0.5582464470777094,-12.158355862723862,Tier 4 - Monitor,2.5,0
10,iot,6.85,-0.1988810814764268,12.925114767614971,-1.3623354081135235,-0.0696299338002771,0.4007403926347609,-14.350432678421765,Tier 4 - Monitor,2.5,0
11,binance_launchpad,7.000000000000002,-0.1949572696333577,9.646824499132618,-1.3647008874335045,-0.0984890246420315,0.3683461544267511,inf,Tier 4 - Monitor,2.5,0
12,paradigm_portfolio,6.999999999999998,-0.1958015064425111,3.551416828149178,-1.3706105450975774,-0.1602873381610193,0.3393353896574914,-41.01938583749349,Tier 4 - Monitor,2.5,0
13,blockchain_capital_portfolio,6.999999999999998,-0.1996529527898295,3.5778307584375555,-1.3975706695288062,-0.1638746452054539,0.33823318653532,-15.10298098988289,Tier 4 - Monitor,2.5,0
14,layer_1,7.999999999999998,-0.1768787891157626,3.5162709119498965,-1.4150303129261006,-0.1417160799962636,0.3457629923420464,-26.37711009629451,Tier 4 - Monitor,2.5,0
15,multicoin_capital_portfolio,7.699999999999998,-0.186633178352809,3.505199242348847,-1.4370754733166289,-0.1515811859293205,0.3421897155879002,-22.100704657098525,Tier 4 - Monitor,2.5,0
16,arrington_xrp_capital_portfolio,8.0,-0.1816803000634396,16.946997159644994,-1.4534424005075168,-0.0122103284669896,0.4199005555674216,-22.37043311532284,Tier 4 - Monitor,2.5,0
17,ftx_bankruptcy_estate,7.999999999999998,-0.1817228039067168,3.561564325890155,-1.4537824312537342,-0.1461071606478152,0.344211565683051,-33.191305073169694,Tier 4 - Monitor,2.5,0
18,polychain_capital_portfolio,7.999999999999998,-0.2004073425697304,3.554455550971116,-1.603258740557843,-0.1648627870600192,0.3378787465799656,-15.481233204025663,Tier 4 - Monitor,2.5,0
19,framework_ventures_portfolio,8.999999999999998,-0.1860062165827583,3.6971221771295033,-1.6740559492448244,-0.1490349948114632,0.3422573969951196,-32.187327578909134,Tier 4 - Monitor,2.5,0
20,alleged_sec_securities,9.599999999999998,-0.1747586863980574,6.648580777633377,-1.6776833894213503,-0.1082728786217236,0.4477331756414783,-12.35260276113393,Tier 4 - Monitor,2.5,0
