date,sector,num_tokens,num_edges,avg_correlation,fiedler_eigenvalue
2021-02-28,Centralized Finance (CeFi),52,261,0.07349988953994636,1.2113817989625044
2021-02-28,Decentralized Finance (DeFi),223,8359,,-8.823670960556033e-14
2021-02-28,Infrastructure,335,17474,,-7.505107647149253e-14
2021-03-31,Centralized Finance (CeFi),52,256,,3.0720833738179817e-15
2021-03-31,Decentralized Finance (DeFi),223,7052,0.13177417754878268,9.519025088674779
2021-03-31,Infrastructure,335,13307,,-1.3487865302726208e-13
2021-04-30,Centralized Finance (CeFi),52,306,,1.3844917100001959e-15
2021-04-30,Decentralized Finance (DeFi),223,8669,0.17309857222827282,10.756586722782764
2021-04-30,Infrastructure,335,14995,,2.0894396677299372e-13
2021-05-31,Centralized Finance (CeFi),52,437,,2.4016379163079644e-14
2021-05-31,Decentralized Finance (DeFi),223,17575,0.3721926985423624,7.598314382594883
2021-05-31,Entertainment/Leisure,91,2436,0.30025574881031813,4.8742059165601095
2021-05-31,Infrastructure,335,29900,,-5.684341886080802e-14
2021-06-30,Centralized Finance (CeFi),52,580,,3.247166631229286e-15
2021-06-30,Decentralized Finance (DeFi),223,19471,0.4522690840297837,4.3070895420030775
2021-06-30,Entertainment/Leisure,91,2615,0.32944442002408175,1.9082344035860168
2021-06-30,Infrastructure,335,36602,,2.2737367544323206e-13
2021-07-31,Centralized Finance (CeFi),52,609,,2.2776919239575477e-15
2021-07-31,Decentralized Finance (DeFi),223,16877,0.37476729995921654,5.6357523127517375
2021-07-31,Entertainment/Leisure,91,2154,0.2678090339066492,1.9767119114085823
2021-07-31,Infrastructure,335,35125,,5.684341886080802e-14
2021-08-31,Centralized Finance (CeFi),52,378,,9.61591582373341e-16
2021-08-31,Decentralized Finance (DeFi),223,11390,0.2235985928976145,8.740659269228699
2021-08-31,Entertainment/Leisure,91,1166,0.14547232084485362,3.774387004716931
2021-08-31,Infrastructure,335,24889,,1.4210854715202004e-13
2021-09-30,Centralized Finance (CeFi),52,535,0.15024669162454365,0.9545138969791075
2021-09-30,Decentralized Finance (DeFi),223,13859,0.28690256307973755,8.698233532126647
2021-09-30,Entertainment/Leisure,91,1910,0.24807941890020938,3.659473485890622
2021-09-30,Infrastructure,335,30203,,-2.2737367544323206e-13
2021-10-31,Centralized Finance (CeFi),52,545,0.14723267193664807,1.7996554130675904
2021-10-31,Decentralized Finance (DeFi),223,14478,0.2914725408892092,5.980098005071365
2021-10-31,Entertainment/Leisure,91,2123,0.2769001061589063,2.5900884438240332
2021-10-31,Infrastructure,335,29049,,6.927790794400376e-14
2021-11-30,Centralized Finance (CeFi),52,367,0.12656969277987704,1.5341738044555608
2021-11-30,Decentralized Finance (DeFi),223,9790,0.18991761653414146,8.756896469294709
2021-11-30,Entertainment/Leisure,91,1169,0.14713900451931936,2.7620493051817236
2021-11-30,Infrastructure,335,17872,0.15201145848426445,10.798085056992058
2021-12-31,Centralized Finance (CeFi),52,423,0.13985941858768136,0.7737816695714412
2021-12-31,Decentralized Finance (DeFi),223,11992,0.23884377148731362,6.8411244760790195
2021-12-31,Entertainment/Leisure,91,1543,0.18957182534495878,1.4885992582073952
2021-12-31,Infrastructure,335,23789,0.20779577153534062,9.466942238603018
2022-01-31,Centralized Finance (CeFi),52,424,0.12827681900278834,0.9250778913490062
2022-01-31,Decentralized Finance (DeFi),223,13474,0.2640956146802638,6.373214679087381
2022-01-31,Entertainment/Leisure,91,2271,0.27912008658244425,3.835721139285469
2022-01-31,Infrastructure,335,28224,0.2653053169454409,11.331275514462131
2022-02-28,Centralized Finance (CeFi),52,486,0.17827468423559098,0.820758415738424
2022-02-28,Decentralized Finance (DeFi),223,15549,,1.8118839783875734e-13
2022-02-28,Entertainment/Leisure,91,2693,,5.684341886080802e-14
2022-02-28,Infrastructure,335,32764,0.3291849289415016,8.803360745733784
2022-03-31,Centralized Finance (CeFi),52,456,,3.0869404253968565e-15
2022-03-31,Decentralized Finance (DeFi),223,14500,0.30279048578321993,5.973345027654208
2022-03-31,Entertainment/Leisure,91,2358,,-1.2580821462532381e-14
2022-03-31,Infrastructure,335,31039,0.3013846500616545,10.748400443111864
2022-04-30,Centralized Finance (CeFi),52,420,,3.996802737155029e-15
2022-04-30,Decentralized Finance (DeFi),223,12962,,2.398081733190338e-13
2022-04-30,Entertainment/Leisure,91,1956,0.24673754957034047,4.790790339843328
2022-04-30,Infrastructure,335,27466,0.256963944016914,10.752612617221763
2022-05-31,Centralized Finance (CeFi),52,655,,2.842170943040401e-14
2022-05-31,Decentralized Finance (DeFi),223,18313,,-1.5693172409381674e-14
2022-05-31,Infrastructure,335,36078,0.38695108604865214,6.853006566869933
2022-06-30,Centralized Finance (CeFi),52,676,0.24107907431891637,2.6808482078422005
2022-06-30,Decentralized Finance (DeFi),223,18679,,-2.8720452739951204e-14
2022-06-30,Infrastructure,335,38826,0.4153386296097181,4.932335178678837
2022-07-31,Centralized Finance (CeFi),52,596,0.21422171897608233,1.7602129476586845
2022-07-31,Decentralized Finance (DeFi),223,15324,,5.6561137595133193e-14
2022-07-31,Infrastructure,335,35584,0.35888492156625995,9.966900306667839
2022-08-31,Centralized Finance (CeFi),52,434,0.1389434240226272,2.1523625209401853
2022-08-31,Decentralized Finance (DeFi),223,12905,,-1.5735502539117634e-13
2022-08-31,Infrastructure,335,28597,0.2639915897329152,11.437536852453112
2022-09-30,Centralized Finance (CeFi),52,457,0.14732556984132122,1.8808921511327181
2022-09-30,Decentralized Finance (DeFi),223,12446,,9.477731454732633e-15
2022-09-30,Infrastructure,335,24622,,1.1368683772161603e-13
2022-10-31,Centralized Finance (CeFi),52,345,0.12420474028509458,0.9640634071338415
2022-10-31,Decentralized Finance (DeFi),223,9625,,8.348868674066397e-14
2022-10-31,Infrastructure,335,21361,,5.400124791776761e-13
2022-11-30,Centralized Finance (CeFi),52,557,0.18663286685455577,1.7923432991819825
2022-11-30,Decentralized Finance (DeFi),223,14323,,1.620562704854477e-15
2022-11-30,Infrastructure,335,35063,,7.389644451905042e-13
2022-12-31,Centralized Finance (CeFi),52,573,0.194583209927009,2.310262465925582
2022-12-31,Decentralized Finance (DeFi),223,14959,,-5.935435969034119e-14
2022-12-31,Infrastructure,335,34424,,2.4300897040245908e-14
2023-01-31,Centralized Finance (CeFi),52,355,0.11875087337090978,1.8440792636145067
2023-01-31,Infrastructure,335,22615,,-8.037103968461246e-14
2023-02-28,Centralized Finance (CeFi),52,352,0.10617321414062385,1.616731080982381
2023-02-28,Infrastructure,335,22561,,-2.1861693724802982e-14
2023-03-31,Centralized Finance (CeFi),52,498,0.1705883463947345,0.9575363907927074
2023-03-31,Infrastructure,335,27538,,4.618527782440651e-14
2023-04-30,Centralized Finance (CeFi),52,462,0.1757660395336822,0.8200601438551158
2023-04-30,Infrastructure,335,27969,,0.0
2023-05-31,Centralized Finance (CeFi),52,296,0.09686338097711433,0.5868558809730856
2023-05-31,Infrastructure,335,23495,,0.0
2023-06-30,Centralized Finance (CeFi),52,386,0.13741852089784248,6.304814644684761e-16
2023-06-30,Infrastructure,335,25544,,-2.842170943040401e-14
2023-07-31,Centralized Finance (CeFi),52,360,0.1377554711344471,1.4533095895801258
2023-07-31,Infrastructure,335,22485,,0.0
2023-08-31,Centralized Finance (CeFi),52,295,,8.819824328879267e-15
2023-08-31,Infrastructure,335,15707,,-5.076921376767778e-14
2023-09-30,Centralized Finance (CeFi),52,310,,5.068827544112056e-15
2023-09-30,Infrastructure,335,17982,,0.0
2023-10-31,Centralized Finance (CeFi),52,282,,3.3414944596390687e-15
2023-10-31,Infrastructure,335,19317,,0.0
2023-11-30,Centralized Finance (CeFi),52,343,,8.670948605670089e-16
2023-11-30,Infrastructure,335,18423,,-2.2513217467969683e-14
2023-12-31,Centralized Finance (CeFi),52,289,,-2.8516544597323794e-15
2023-12-31,Infrastructure,335,15886,,-9.030881790949924e-15
2024-01-31,Centralized Finance (CeFi),52,239,,-7.583646815795247e-16
2024-01-31,Infrastructure,335,18110,,-2.364778506800923e-14
