theme,ticker,ticker_clean,confidence,tier,combined_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,sector,action
icetea_labs,KMON-USD,KMON,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,BEM-USD,BEM,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,PKF-USD,PKF,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,SOULS-USD,SOULS,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,PERRY-USD,PERRY,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,GAFI-USD,GAFI,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,RENA-USD,RENA,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,ASPO-USD,ASPO,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
icetea_labs,BUNI-USD,BUNI,high,Tier 2,0.190678,-0.153403,34.4081,-0.0,0.0,1.0,-18.26,12.93,Other,ACCUMULATE
political_memes,PEOPLE-USD,PEOPLE,high,Tier 2,0.181731,-0.155587,33.7318,2.0,0.0,1.0,51.2,42.7,Memes,ACCUMULATE
political_memes,TROG-USD,TROG,high,Tier 2,0.181731,-0.155587,33.7318,2.0,0.0,1.0,51.2,42.7,Memes,ACCUMULATE
political_memes,PNUT-USD,PNUT,high,Tier 2,0.181731,-0.155587,33.7318,2.0,0.0,1.0,51.2,42.7,Memes,ACCUMULATE
political_memes,PATRIOT-USD,PATRIOT,high,Tier 2,0.181731,-0.155587,33.7318,2.0,0.0,1.0,51.2,42.7,Memes,ACCUMULATE
bullperks_launchpad,PKR-USD,PKR,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
bullperks_launchpad,CWAR-USD,CWAR,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
bullperks_launchpad,BLOK-USD,BLOK,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
bullperks_launchpad,CWEB-USD,CWEB,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
bullperks_launchpad,MONI-USD,MONI,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
bullperks_launchpad,HGPT-USD,HGPT,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
bullperks_launchpad,QORPO-USD,QORPO,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
bullperks_launchpad,HIGH-USD,HIGH,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
bullperks_launchpad,ERTHA-USD,ERTHA,high,Tier 2,0.178605,-0.088266,26.6871,0.793121,0.0,1.0,2.36,21.06,VC_Portfolio,ACCUMULATE
sun_pump_ecosystem,TBULL-USD,TBULL,high,Tier 2,0.175275,-0.216723,39.1999,0.91387,0.0,1.0,-2.36,15.6,Ecosystem,ACCUMULATE
sun_pump_ecosystem,IVFUN-USD,IVFUN,high,Tier 2,0.175275,-0.216723,39.1999,0.91387,0.0,1.0,-2.36,15.6,Ecosystem,ACCUMULATE
sun_pump_ecosystem,MUNCAT-USD,MUNCAT,high,Tier 2,0.175275,-0.216723,39.1999,0.91387,0.0,1.0,-2.36,15.6,Ecosystem,ACCUMULATE
sun_pump_ecosystem,SUNPEPE-USD,SUNPEPE,high,Tier 2,0.175275,-0.216723,39.1999,0.91387,0.0,1.0,-2.36,15.6,Ecosystem,ACCUMULATE
sun_pump_ecosystem,SUNDOG-USD,SUNDOG,high,Tier 2,0.175275,-0.216723,39.1999,0.91387,0.0,1.0,-2.36,15.6,Ecosystem,ACCUMULATE
sun_pump_ecosystem,SUNCAT-USD,SUNCAT,high,Tier 2,0.175275,-0.216723,39.1999,0.91387,0.0,1.0,-2.36,15.6,Ecosystem,ACCUMULATE
poolz_finance_portfolio,GAINS-USD,GAINS,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
poolz_finance_portfolio,HAPI-USD,HAPI,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
poolz_finance_portfolio,PRARE-USD,PRARE,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
poolz_finance_portfolio,DHV-USD,DHV,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
poolz_finance_portfolio,COOK-USD,COOK,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
poolz_finance_portfolio,RAGE-USD,RAGE,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
poolz_finance_portfolio,PCNT-USD,PCNT,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
poolz_finance_portfolio,SDAO-USD,SDAO,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
poolz_finance_portfolio,HGPT-USD,HGPT,high,Tier 2,0.17319,-0.274166,44.7356,0.0,0.0,1.0,-12.01,28.91,VC_Portfolio,ACCUMULATE
x402_ecosystem,AIKEK-USD,AIKEK,high,Tier 2,0.165478,-0.22111,38.6588,2.3,0.0,1.0,-19.11,34.16,Ecosystem,ACCUMULATE
x402_ecosystem,ADX-USD,ADX,high,Tier 2,0.165478,-0.22111,38.6588,2.3,0.0,1.0,-19.11,34.16,Ecosystem,ACCUMULATE
x402_ecosystem,EIGEN-USD,EIGEN,high,Tier 2,0.165478,-0.22111,38.6588,2.3,0.0,1.0,-19.11,34.16,Ecosystem,ACCUMULATE
polkafoundry_red_kite,ASPO-USD,ASPO,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,SOULS-USD,SOULS,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,DARK-USD,DARK,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,BLOK-USD,BLOK,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,GAFI-USD,GAFI,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,DREAMS-USD,DREAMS,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,BUNI-USD,BUNI,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
