theme,ticker,ticker_clean,confidence,tier,combined_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,sector,action
bluezilla,VLXPAD-USD,VLXPAD,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
bluezilla,PLSPAD-USD,PLSPAD,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
bluezilla,ADAPAD-USD,ADAPAD,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
bluezilla,GZONE-USD,GZONE,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
bluezilla,AIPAD-USD,AIPAD,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
bluezilla,ETHPAD-USD,ETHPAD,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
bluezilla,METAV-USD,METAV,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
bluezilla,MOVEZ-USD,MOVEZ,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
bluezilla,BSCPAD-USD,BSCPAD,high,Tier 4,0.047986,-0.196834,24.482,0.625816,0.0,1.0,-8.27,13.73,Other,MONITOR
synthetics,SNX-USD,SNX,high,Tier 4,0.036827,-0.137702,17.4528,0.807418,0.0,0.776,inf,10.35,Other,MONITOR
synthetics,BTS-USD,BTS,high,Tier 4,0.036827,-0.137702,17.4528,0.807418,0.0,0.776,inf,10.35,Other,MONITOR
synthetics,SNY-USD,SNY,high,Tier 4,0.036827,-0.137702,17.4528,0.807418,0.0,0.776,inf,10.35,Other,MONITOR
synthetics,HZN-USD,HZN,high,Tier 4,0.036827,-0.137702,17.4528,0.807418,0.0,0.776,inf,10.35,Other,MONITOR
synthetics,JRT-USD,JRT,high,Tier 4,0.036827,-0.137702,17.4528,0.807418,0.0,0.776,inf,10.35,Other,MONITOR
synthetics,UMA-USD,UMA,high,Tier 4,0.036827,-0.137702,17.4528,0.807418,0.0,0.776,inf,10.35,Other,MONITOR
synthetics,SUSD-USD,SUSD,high,Tier 4,0.036827,-0.137702,17.4528,0.807418,0.0,0.776,inf,10.35,Other,MONITOR
polkastarter,CERE-USD,CERE,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
polkastarter,PAID-USD,PAID,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
polkastarter,WILD-USD,WILD,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
polkastarter,STOS-USD,STOS,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
polkastarter,POLK-USD,POLK,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
polkastarter,MAHA-USD,MAHA,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
polkastarter,PUSH-USD,PUSH,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
polkastarter,SHFT-USD,SHFT,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
polkastarter,XED-USD,XED,high,Tier 4,0.036113,-0.305855,34.1969,0.726896,0.0,1.0,-20.47,16.56,Other,MONITOR
parafi_capital,RAMP-USD,RAMP,high,Tier 4,0.0358,-0.085898,12.1697,0.837722,0.0,1.0,14.61,21.46,Other,MONITOR
parafi_capital,KNC-USD,KNC,high,Tier 4,0.0358,-0.085898,12.1697,0.837722,0.0,1.0,14.61,21.46,Other,MONITOR
parafi_capital,BETA-USD,BETA,high,Tier 4,0.0358,-0.085898,12.1697,0.837722,0.0,1.0,14.61,21.46,Other,MONITOR
parafi_capital,YFI-USD,YFI,high,Tier 4,0.0358,-0.085898,12.1697,0.837722,0.0,1.0,14.61,21.46,Other,MONITOR
parafi_capital,SNX-USD,SNX,high,Tier 4,0.0358,-0.085898,12.1697,0.837722,0.0,1.0,14.61,21.46,Other,MONITOR
parafi_capital,1INCH-USD,1INCH,high,Tier 4,0.0358,-0.085898,12.1697,0.837722,0.0,1.0,14.61,21.46,Other,MONITOR
parafi_capital,AAVE-USD,AAVE,high,Tier 4,0.0358,-0.085898,12.1697,0.837722,0.0,1.0,14.61,21.46,Other,MONITOR
parafi_capital,KEEP-USD,KEEP,high,Tier 4,0.0358,-0.085898,12.1697,0.837722,0.0,1.0,14.61,21.46,Other,MONITOR
options,HGET-USD,HGET,high,Tier 4,0.033199,-0.117106,15.0304,0.518806,0.0,1.0,-6.65,14.94,Other,MONITOR
options,ODDZ-USD,ODDZ,high,Tier 4,0.033199,-0.117106,15.0304,0.518806,0.0,1.0,-6.65,14.94,Other,MONITOR
options,PTF-USD,PTF,high,Tier 4,0.033199,-0.117106,15.0304,0.518806,0.0,1.0,-6.65,14.94,Other,MONITOR
options,DERI-USD,DERI,high,Tier 4,0.033199,-0.117106,15.0304,0.518806,0.0,1.0,-6.65,14.94,Other,MONITOR
options,HEGIC-USD,HEGIC,high,Tier 4,0.033199,-0.117106,15.0304,0.518806,0.0,1.0,-6.65,14.94,Other,MONITOR
chromia_ecosystem,ALICE-USD,ALICE,high,Tier 4,0.023677,-0.173044,19.6721,0.413094,0.0,1.0,-17.15,14.31,Ecosystem,MONITOR
chromia_ecosystem,APYS-USD,APYS,high,Tier 4,0.023677,-0.173044,19.6721,0.413094,0.0,1.0,-17.15,14.31,Ecosystem,MONITOR
chromia_ecosystem,CHR-USD,CHR,high,Tier 4,0.023677,-0.173044,19.6721,0.413094,0.0,1.0,-17.15,14.31,Ecosystem,MONITOR
chromia_ecosystem,CO-USD,CO,high,Tier 4,0.023677,-0.173044,19.6721,0.413094,0.0,1.0,-17.15,14.31,Ecosystem,MONITOR
chromia_ecosystem,HGET-USD,HGET,high,Tier 4,0.023677,-0.173044,19.6721,0.413094,0.0,1.0,-17.15,14.31,Ecosystem,MONITOR
chromia_ecosystem,BEL-USD,BEL,high,Tier 4,0.023677,-0.173044,19.6721,0.413094,0.0,1.0,-17.15,14.31,Ecosystem,MONITOR
bounce_launchpad,UMB-USD,UMB,high,Tier 4,0.020119,-0.157615,17.7734,0.0,0.0,1.0,1.38,31.19,VC_Portfolio,MONITOR
bounce_launchpad,O3-USD,O3,high,Tier 4,0.020119,-0.157615,17.7734,0.0,0.0,1.0,1.38,31.19,VC_Portfolio,MONITOR
bounce_launchpad,NFTB-USD,NFTB,high,Tier 4,0.020119,-0.157615,17.7734,0.0,0.0,1.0,1.38,31.19,VC_Portfolio,MONITOR
bounce_launchpad,ROOM-USD,ROOM,high,Tier 4,0.020119,-0.157615,17.7734,0.0,0.0,1.0,1.38,31.19,VC_Portfolio,MONITOR
bounce_launchpad,AUCTION-USD,AUCTION,high,Tier 4,0.020119,-0.157615,17.7734,0.0,0.0,1.0,1.38,31.19,VC_Portfolio,MONITOR
bounce_launchpad,BSCS-USD,BSCS,high,Tier 4,0.020119,-0.157615,17.7734,0.0,0.0,1.0,1.38,31.19,VC_Portfolio,MONITOR
osmosis_ecosystem,ARB-USD,ARB,high,Tier 4,0.01865,-0.211448,23.0098,1.0,0.0,1.0,-9.3,21.03,Ecosystem,MONITOR
osmosis_ecosystem,AKT-USD,AKT,high,Tier 4,0.01865,-0.211448,23.0098,1.0,0.0,1.0,-9.3,21.03,Ecosystem,MONITOR
osmosis_ecosystem,LUNC-USD,LUNC,high,Tier 4,0.01865,-0.211448,23.0098,1.0,0.0,1.0,-9.3,21.03,Ecosystem,MONITOR
osmosis_ecosystem,DOT-USD,DOT,high,Tier 4,0.01865,-0.211448,23.0098,1.0,0.0,1.0,-9.3,21.03,Ecosystem,MONITOR
osmosis_ecosystem,OSMO-USD,OSMO,high,Tier 4,0.01865,-0.211448,23.0098,1.0,0.0,1.0,-9.3,21.03,Ecosystem,MONITOR
osmosis_ecosystem,ATOM-USD,ATOM,high,Tier 4,0.01865,-0.211448,23.0098,1.0,0.0,1.0,-9.3,21.03,Ecosystem,MONITOR
osmosis_ecosystem,FET-USD,FET,high,Tier 4,0.01865,-0.211448,23.0098,1.0,0.0,1.0,-9.3,21.03,Ecosystem,MONITOR
osmosis_ecosystem,DOGE-USD,DOGE,high,Tier 4,0.01865,-0.211448,23.0098,1.0,0.0,1.0,-9.3,21.03,Ecosystem,MONITOR
binance_ecosystem,BNB-USD,BNB,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,USDC-USD,USDC,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,BTC-USD,BTC,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,DOGE-USD,DOGE,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,XRP-USD,XRP,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,USDT-USD,USDT,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,TRX-USD,TRX,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,SOL-USD,SOL,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,ETH-USD,ETH,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
binance_ecosystem,ADA-USD,ADA,high,Tier 4,0.01854,-0.102629,12.1169,0.277222,0.0,0.9562,0.42,13.29,Ecosystem,MONITOR
rebase,STND-USD,STND,high,Tier 4,0.006264,-0.020282,2.6546,-0.0,0.65,0.8148,-18.41,21.23,Other,MONITOR
rebase,RAM-USD,RAM,high,Tier 4,0.006264,-0.020282,2.6546,-0.0,0.65,0.8148,-18.41,21.23,Other,MONITOR
rebase,ESD-USD,ESD,high,Tier 4,0.006264,-0.020282,2.6546,-0.0,0.65,0.8148,-18.41,21.23,Other,MONITOR
rebase,BAC-USD,BAC,high,Tier 4,0.006264,-0.020282,2.6546,-0.0,0.65,0.8148,-18.41,21.23,Other,MONITOR
rebase,AMPL-USD,AMPL,high,Tier 4,0.006264,-0.020282,2.6546,-0.0,0.65,0.8148,-18.41,21.23,Other,MONITOR
rebase,SHARE-USD,SHARE,high,Tier 4,0.006264,-0.020282,2.6546,-0.0,0.65,0.8148,-18.41,21.23,Other,MONITOR
seigniorage,ESD-USD,ESD,high,Tier 4,0.005988,0.001568,0.4421,0.0,0.0,1.0,-2.39,15.01,Other,MONITOR
seigniorage,FRAX-USD,FRAX,high,Tier 4,0.005988,0.001568,0.4421,0.0,0.0,1.0,-2.39,15.01,Other,MONITOR
